id,name,party,sector,country
lk,Lars Klingbeil,SPD,Politik,Deutschland
sw,Sahra Wagenknecht,Die Linke,Politik,Deutschland
uvdl,Ursula von der Leyen,CDU,Politik,Deutschland
nr,Norbert Röttgen,CDU,Politik,Deutschland
cs,Dr. Constanze Stelzenmüller,,Jura,USA
500,Folge 500,,,
SPD,SPD,,,
DL,Die Linke,,,
CDU,CDU,,,
ft,Frans Timmermans,,Politik,Niederlande
agl,Alexander Graf Lambsdorff,FDP,Politik,Deutschland
ab,Annalena Baerbock,Die Grünen,Politik,Deutschland
am,Andrij Melnik,,Politik,Ukraine
er,Egon Ramms,,Militär,Deutschland
502,Folge 502,,,
FDP,FDP,,,
DG,Die Grünen,,,
kp,Katja Petrowskaja,,Journalistik,Deutschland
rh,Robert Habeck,Die Grünen,Politik,Deutschland
cm,Claudia Major,,Wissenschaft,Deutschland
rk,Roderich Kiesewetter,CDU,Politik ,Deutschland
503,Folge 503,,,
cl,Christian Lindner,FDP,Politik,Deutschland
nr,Norbert Röttgen,CDU,Politik,Deutschland 
ks,Karl Schlögel,,Geographie,
lm,Ljudmyla Melnyk,,Wissenschaft,Ukraine
kd,Kristina Dunz,,Journalistik,Deutschland
el,Egils Levits,,Politik,Lettland
501,Folge 501,,,
